"sampleid","RS-GCF-900217715.1-NZ-OBMS01000001.1","G000779535","MJ006-2-barcode69-umi34671bins-ubs-9","RS-GCF-004099995.1-NZ-SCIF01000041.1","RS-GCF-009679795.1-NZ-WKPZ01000065.1","GB-GCA-000155935.2-GL531761.1","RS-GCF-001510975.1-NZ-CZPS01000041.1","RS-GCF-003591195.1-NZ-QYRQ01000004.1","RS-GCF-001455265.1-NZ-LKPE01000028.1","GB-GCA-900767615.1-CAAFZU010000193.1","RS-GCF-900104225.1-NZ-FNJK01000021.1","RS-GCF-018619375.1-NZ-JAHHFT010000043.1","MJ006-1-barcode47-umi70306bins-ubs-6","RS-GCF-902160305.1-NZ-CABGND010000002.1","RS-GCF-014853615.1-NZ-JACZAP010000041.1","RS-GCF-001052115.1-NZ-JWDE01000118.1","GB-GCA-016742415.1-JAEPEL010000544.1","RS-GCF-002301595.1-NZ-MOQF01000146.1","RS-GCF-013293385.1-NZ-JAAKAA010000059.1","RS-GCF-000808015.1-NZ-JWHR01000141.1","GB-GCA-018376935.1-JAHAAJ010000118.1","MJ006-1-barcode39-umi72580bins-ubs-5","MJ006-2-barcode58-umi242477bins-ubs-3","GB-GCA-905205225.1-CAJLCQ010000084.1","G902387315","LC371917","GB-GCA-900756345.1-CAAEJT010000082.1","RS-GCF-000469425.1-NZ-KI271465.1","LC522510","G900545585","GB-GCA-018052775.1-JAGPMS010000005.1","RS-GCF-900291485.1-NZ-OLKO01000008.1","AJ305238","MJ006-2-barcode57-umi34456bins-ubs-9","MJ006-2-barcode52-umi34422bins-ubs-9","MJ006-1-barcode39-umi142106bins-ubs-3","MJ006-1-barcode28-umi157746bins-ubs-3","RS-GCF-018784445.1-NZ-WQOH01000081.1","MJ006-1-barcode26-umi145558bins-ubs-3","RS-GCF-003460985.1-NZ-QTWF01000009.1","RS-GCF-016901815.1-NZ-JACSNR010000025.1","AY323228","MJ006-2-barcode65-umi128273bins-ubs-4","GB-GCA-018223415.1-JAGTTQ010000001.1--3","GB-GCA-900066735.1-FMFX01000027.1","MJ006-1-barcode41-umi228693bins-ubs-3","RS-GCF-003464105.1-NZ-QSDS01000060.1","RS-GCF-000210015.1-NC-021022.1","RS-GCF-003480145.1-NZ-QUIO01000097.1","G902167945","MJ006-1-barcode31-umi69421bins-ubs-7","G000156675","RS-GCF-003481175.1-NZ-QUKF01000070.1","G003481995","GB-GCA-000509125.1-BAII02000026.1","RS-GCF-003474085.1-NZ-QRNS01000091.1","RS-GCF-018784865.1-NZ-WQPA01000083.1","RS-GCF-013304755.1-NZ-JAAITK010000014.1","GB-GCA-000509105.1-BAIF02000133.1","MJ006-1-barcode33-umi150609bins-ubs-3","RS-GCF-003603645.1-NZ-QVHD01000007.1","MJ005-barcode41-umi82693bins-ubs-3","RS-GCF-009759525.1-NZ-WGGT01000066.1","MJ020-1-barcode44-umi10522bins-ubs-36","MJ006-1-barcode39-umi116853bins-ubs-4","G000332875","GB-GCA-910574775.1-CAJTBX010000007.1","MJ006-1-barcode49-umi104059bins-ubs-5","RS-GCF-002847925.1-NZ-PKHW01000010.1","RS-GCF-002959815.1-NZ-PPCZ01000008.1","GB-GCA-900542515.1-UQOA01000002.1","RS-GCF-013408445.1-NZ-JACBZL010000001.1--4","RS-GCF-001812895.1-NZ-KV810708.1","RS-GCF-001814995.1-NZ-KV818677.1","AJ540309","AB818950","GB-GCA-000468795.1-AWPJ01000352.1","CP001726","AB566419"
"SRR10572405",914,24,3,116,0,0,0,0,0,0,0,0,0,0,0,9,26,0,335,0,117,61,0,0,0,9,29,19,484,0,1052,282,17,35,188,0,521,310,175,5,12,0,6,0,0,0,119,70,72,31,0,0,16,14,73,0,67,0,3,140,0,0,0,0,2,114,0,0,0,0,0,0,0,0,2,0,1014,62,26
"SRR10572412",0,0,0,0,0,10,0,0,3,35,0,0,0,0,0,3,0,0,30,0,122,0,0,41,0,0,28,14,80,0,95,0,0,0,73,34,937,2592,199,0,0,0,0,13,0,0,0,0,242,236,0,0,0,0,0,0,9,0,13,253,0,0,0,0,0,28,4,15,0,0,105,0,0,0,0,0,1321,74,0
"SRR10572416",0,1819,0,0,0,0,2,0,0,0,0,0,0,156,0,0,0,0,0,0,555,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"SRR10572423",0,2054,3,0,0,0,0,0,0,463,0,18,0,264,0,8,0,0,0,0,66,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,48,74,0,0,0,0,0,0,0,123,0,62,0,0,0,0,12,0,31,0,0,0,0,0,0,0,9,0,0,0,154,6,0,1768,344,0
"SRR10572429",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,66,0,4,0,0,102,51,7,0,7,21,252,0,319,49,0,35,92,1577,186,7,0,13,0,0,0,0,0,13,20,167,231,0,0,296,8,0,69,106,0,0,0,0,0,0,0,48,149,0,0,0,0,263,0,0,0,0,4,372,25,12
"SRR10572433",0,1572,7,0,19,0,0,0,0,81,0,0,128,56,62,39,0,0,7,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,50,2,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,57,17,0,7,0,0,0,0,0,0,0
"SRR10572436",0,1447,0,0,13,11,0,0,0,113,0,122,0,11,57,0,1097,0,25,0,20,0,0,0,0,0,0,0,10,0,218,0,0,0,3,0,124,0,9,0,0,0,0,0,0,11,315,135,146,0,0,0,299,6,22,0,0,47,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,1342,58,0
"SRR10572446",0,55,0,0,31,1029,0,161,0,2193,27,117,121,0,0,7,0,0,146,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,16,0,13,0,19,11,0,48,0,0,0,3429,24,0
"SRR10572452",0,3788,0,0,10,0,0,0,0,3848,0,84,0,0,365,0,0,5,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,66,0,0,0,0,0,0,0,0,0
"SRR10572458",0,15,0,0,0,0,0,0,0,100,0,31,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,399,0,1612,0,0,0,0,0,0,0,0,0,0,39,0,0,0,110,0,13,34,88,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,69,0,0
"SRR10572462",0,86,0,0,0,3,0,0,86,22,0,0,0,53,0,0,0,0,159,0,355,0,0,0,0,4,0,4,0,0,0,0,0,0,6,71,0,0,125,27,0,0,0,0,36,125,0,0,0,0,0,15,582,0,0,7,0,49,0,192,0,0,0,0,100,0,0,271,0,0,0,0,0,0,0,0,595,0,0
"SRR10572469",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,29,0,69,236,0,6,0,0,0,0,0,114,0,19,29,0,0,266,0,0,0,0,0,0,0,0,12,7,45,78,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,24,0,0,7,0,0,0,0,0,0,0,6,20,0
"SRR10572472",0,0,0,0,0,0,0,0,14,34,0,0,0,0,0,8,11,0,7,0,20,8,24,2,0,99,0,98,35,0,0,196,56,0,37,210,3009,683,62,0,0,0,15,49,0,36,226,24,71,57,0,0,100,22,0,0,92,6,0,98,0,0,10,22,0,25,0,0,0,0,0,0,3,0,0,0,268,54,0
"SRR10572475",0,0,15,0,0,0,0,0,0,142,0,0,0,46,0,5,0,13,6,0,13,0,0,0,0,0,7,3,0,0,0,73,0,42,26,0,0,0,1821,0,0,0,0,0,26,0,115,0,0,0,61,0,11,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,957,22
"SRR10572482",0,692,0,3,0,33,0,0,0,111,0,19,0,17,0,0,0,10,167,12,192,0,184,0,0,0,142,9,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,70,0,0,105,0,0,0,0,476,276,0,0,0,0,0,0,0,0,0,0
"ERR2666855",0,0,0,0,675,0,0,133,0,42,0,0,0,5180,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666862",0,0,0,15,0,0,0,0,412,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"ERR2666867",0,0,0,0,0,0,0,0,0,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666872",0,0,0,0,0,0,0,0,0,0,0,0,0,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666873",0,0,0,0,0,0,0,0,0,0,0,0,0,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666877",0,0,0,0,0,0,0,0,0,39,0,0,0,2680,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666878",0,0,6,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,39,0,0,0,0,0,22,0,0,0,0,0,0,0,0,42,0,0,13,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,0,52,0,0,0,0,29,0,18,0,0,0,0,0,0,145,93,0,0
"ERR2666880",0,23,0,0,0,0,0,0,6,219,8,0,0,561,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,96,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0
"ERR2666881",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666886",0,0,0,0,0,0,0,0,0,0,0,0,0,4198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666894",0,0,0,0,0,0,0,0,0,42,0,0,85,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,15,0,0,216,0,0,0,0,0,0,0,0,0,14,75,0,0
"ERR2666897",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666908",0,0,0,0,0,0,0,0,0,11,0,0,120,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,146,78,66,0,0,0,0,0,0,0,0,0,4,0,110,1025,0,0,0
"ERR2666909",0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2666912",0,0,0,0,0,0,0,0,0,25,0,0,0,237,0,0,0,0,0,0,0,25,0,6,0,0,9,0,33,17,704,8,0,6,3,0,53,0,0,7,0,0,0,0,2,0,148,11,72,178,0,0,242,0,0,171,169,0,0,37,0,0,0,26,24,60,0,86,0,0,0,0,0,0,0,12,5,0,0
"ERR2666915",0,0,0,0,1557,24,0,0,0,330,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
